,release_date,track_id,track_name,track_rating,artist_id,artist_name,album_id,album_name,genre,lyrics
103,2021-03-05,212451230,What’s Next,80,55458656,Drake,42925519,Scary Hours 2,Hip Hop/Rap,"Ayy, woah
Ayy, ayy
Yeah

I'm makin' a change today, the liquor been takin' the pain away
I heard you was givin' your chain away, that's kinda like givin' your fame away
What's wrong with you? I sit in a box where the owners do
A boss is a role that I've grown into
I love you to death, but I told you the truth
I can't just be with you and only you

Yeah, I got one, Virgil got one and that there is the only two
Man, how many times have I shown improvement?
How many nights I been, woah
Swervin' them potholes
Not tryna fuck up the wheels on the road? Okay
Funny how life goes
He thought he was sick, now he wipin' his nose, okay
Soon as you give 'em your soul
You blow up, and they say you sellin' your soul, okay
They want my life exposed
They wanna know about the highs and lows

Well, summer all I did was rest, okay?
...

******* This Lyrics is NOT for Commercial use *******"
104,2021-10-29,225592791,Thot Shit,80,33909962,Megan Thee Stallion,47755496,Something for Thee Hotties,Hip Hop/Rap,"OG Parker
And if the beat live, you know Lil Ju made it!

Hands on my knees, shaking ass on my thot shit
Post me a pic', finna make me a profit
When the liquor hit, then a bitch get toxic
(Why the fuck you in the club when niggas wyling?)
I've been lit since brunch, thot shit
Order '42 for the table, let's pop shit
Missionary or doggy style, I'ma top shit
Pussy ass niggas hating on me from the closet, ah

Hoes tryna call me a snake, shit, I guess I can relate
'Cause a bitch spit a whole lot of venom
And since these hoes all rats, when they come around me
All I see is a whole lotta dinner
I walk around the house butt-naked, and I'll stop at every mirror
Just to stare at my own posterior
I 'on't a give a fuck who talk behind my back
'Cause the bitch knew better than to let me hear

Hands on my knees, shaking ass on my thot shit
Hands on my knees, shaking ass on my thot shit
Hands on my knees, shaking ass on my thot shit
Hands on my knees, ha-hands on my knees
Hands on my knees, shaking ass on my thot shit
Hands on my knees, shaking ass on my thot shit
Hands on my knees, shaking ass on my thot shit
Hands on my knees, hands on my knees

Hoes say they wish a bitch would, and I'm a genie
Bitch so hot, gotta stay in bikinis
He got a girl, but he keep begging to see me
I love it when a nigga got a mouth full of VV's
No, I'm not a patient, but I let him treat me
...

******* This Lyrics is NOT for Commercial use *******"
105,2021-12-16,227681817,late at night,79,50985215,Roddy Ricch,48474720,LIVE LIFE FAST,Hip Hop/Rap,"Late at night
Kiss me in the mornin', late at night
Catch me drivin' down 405
Catch me and your girl, late at night
Side to side
Mustard on the beat, ho

Late at night
Kiss me in the mornin' or late at night
Long as you come through
I'ma make you come over and over
I'ma treat you like I'm 'posed to
You better never make no time for these niggas
'Cause when I ride, I'ma ride, ride with you

I can't fuck with nobody
I can't keep livin' like this, I can't
I tell her what it is, and I tell her what it ain't
She know that I been all in her walls like I paint
Told her at times I wanna give you trust, but I can't
I really got it out the mud, climbin' up the ranks
...

******* This Lyrics is NOT for Commercial use *******"
106,2020-09-18,201226117,Kings & Queens,91,34038797,Ava Max,39574240,Heaven & Hell,Pop,"If all of the kings had their queens on the throne
We would pop champagne and raise a toast
To all of the queens who are fighting alone
Baby, you're not dancing on your own

Can't live without me, you wanna, but you can't, nah-nah-nah
Think it's funny, but honey, can't run this show on your own
I can feel my body shake, there's only so much I can take
I'll show you how a real queen behaves

Oh-oh-oh, no damsel in distress, don't need to save me
Once I start breathing fire, you can't tame me
And you might think I'm weak without a sword
But if I had one, it'd be bigger than yours

...

******* This Lyrics is NOT for Commercial use *******"
107,2021-03-19,211334694,Anyone,81,33491916,Justin Bieber,43247179,Justice,Pop,"Dance with me under the diamonds
See me like breath in the cold
Sleep with me here in the silence
Come kiss me, silver and gold

You say that I won't lose you
But you can't predict the future
So, just hold on like you will never let go
Yeah, if you ever move on without me
I need to make sure you know that

You are the only one I'll ever love
(I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone
(I gotta tell ya, gotta tell ya)
Looking back on my life
You're the only good I've ever done (ever done)
...

******* This Lyrics is NOT for Commercial use *******"
108,2022-03-11,232351248,Track Star,75,38726802,Mooski,50243006,Melodic Therapy 4 The Broken,Hip Hop/Rap,"Yeah
Mayne I ain't, I ain't ever had this happen before mayne
Heart breaks so deep
Heart broke so deep, it broke into a melody like this
(Ooh-ooh, ooh-ooh, ooh-ooh)
(Ooh-ooh, ooh-ooh, ooh-ooh)

Aye, aye
She's a runner, she's a track star
She gon' run away when it gets hard
She can't take the pain, she can't get scarred
She hurt anyone that gets involved
Don't wanna commit, why take it this far?
She gon' do the race, just not this one
Love is a game you used to cheer for
When I was down to talk, you weren't here for it
You-ouu-ouu-ouu-ouu (Yoo-ooo-oou)
Leave a trail of heartbreak and heartache like it's cool (cool-ooo-ool)
I guess way too late is convenient for you (yoo-ooo-oou)
The dirt you left don't turn into dust, it don't move (mooo-ooo-ooo-oove)
It's here waiting for you (yooo-ooo-ooo-oou)

...

******* This Lyrics is NOT for Commercial use *******"
109,2021-04-23,213577600,Time Today,78,31958107,Moneybagg Yo,43751579,A Gangsta's Pain,Hip Hop/Rap,"I just looked at my wrist, I got time today
F- it, I'm crossin' the line today
The hate be so real, the love be fake
Be bumpin' they gums and bumpin' my tape
Don't go against me then ask for my help
Go get out your feelings and get it yourself

Might got the same shoes but you ain't gon' step (nope)
The sh- that you just put out, you could've kept, yep
She got a n-, he gotta share (why?)
You can't compete when you can't compare (period)
She ate the d-through my underwеar (uh)
Got up and got herself outta therе

I see they put me on memes and things
Don't speak on my life without knowin' the real
Eight figures a year, what it cost me to live
Don't hold it, just say what you feel but

Watch your mouth 'fore I fly out your b- (where?)
To a place that she didn't know exist (gone)
Mediterranean, water my wrist (bitch)
Keeping 'em pissed, how I'm talkin' my sh-
Six-figure check for a show, man I'm lit (lit)
Let's celebrate now my bag legit (go)
These n- with me with whatever I'm with (yeah)
...

******* This Lyrics is NOT for Commercial use *******"
110,2017-12-15,143128764,All I Want for Christmas Is You,97,72,Mariah Carey,27762682,All I Want For Christmas Is You,Pop,"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you
Yeah

I don't want a lot for Christmas
There is just one thing I need (and I)
Don't care about the presents underneath the Christmas tree
I don't need to hang my stocking there upon the fireplace
Santa Claus won't make me happy with a toy on Christmas Day

I just want you for my own
More than you could ever know
Make my wish come true
...

******* This Lyrics is NOT for Commercial use *******"
111,2021-04-30,211338684,What's Your Country Song,77,13937395,Thomas Rhett,43036002,Country Again (Side A),Country,"Did you grow up on a tractor?
Did your daddy let you drive?
Are you whiskey bent and hell bound
Even though your mama tried?
Did you cruise down a backroad
With your Dixieland delight?
Are you on the Chattahoochee
On a barefoot blue jean night?

Everybody got a small town anthem
Everybody got a story to tell
Everybody got a hallelujah
Everybody been through a little hell
When you're rolling down a two-lane highway
And you turn your radio on
Tell me which one hits you, baby
Yeah, what's your country song?
...

******* This Lyrics is NOT for Commercial use *******"
112,2020-11-12,206158135,Arcade,83,37875627,Duncan Laurence,41202262,Small Town Boy (Track By Track),Pop,"A broken heart is all that's left
I'm still fixin' all the cracks
Lost a couple of pieces when
I carried it, carried it, carried it home

I'm afraid of all I am
My mind feels like a foreign land
Silence ringin' inside my head
Please, carry me, carry me, carry me home

I've spent all of the love I saved
We were always a losing game
Small town boy in a big arcade
I got addicted to a losing game
...

******* This Lyrics is NOT for Commercial use *******"
113,2021-06-04,216013860,Yonaguni,92,33491954,Bad Bunny,44318476,Yonaguni,Latin,"Yeh, yeh
Yeh, yeh, yeh, yeh, yeh, yeh
Yeh, yeh, yeh, yeh, yeh

Una noche más y copas de más
Tú no me dejas en paz
De mi mente no te vas

Aunque sé que no debo, ey
Pensar en ti bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, oh

Aunque sé que no debo, ey
Pensar en ti bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, ey

No me busque' en Instagram
Mami, búscame en casa
Pa que vea' lo que pasa, ey
Si tú me prueba', te casa', ey
Ese cabrón ni te abraza
...

******* This Lyrics is NOT for Commercial use *******"
114,2021-08-27,219397704,GOOD TIME,76,39308664,Niko Moon,45496045,GOOD TIME,Country,"We just tryna catch a good time
Even if it takes all night
Pass that bottle 'round the campfire
Sippin' apple pie moonshine

Yeah we pickin' on them guitars just right
Everybody singin' Dixieland Delight
Like a bobber on a wet line
We just tryna catch a good time

Eighty degrees and the sun ain't even out
We got a spot a couple miles out of town
When that moon comes up, you know what's goin' down
We got them folding chairs leanin' way back
No other plans other than relax
We ain't worried about tomorrow from where we at

We just tryna catch a good time
Even if it takes all night
Pass that bottle 'round the campfire
Sippin' apple pie moonshine

Yeah we pickin' on them guitars just right
...

******* This Lyrics is NOT for Commercial use *******"
115,2020-10-30,204342054,pov,82,13958599,Ariana Grande,40633567,Positions,Dance,"It's like you got superpowers
Turn my minutes into hours
You got more than 20-20, babe
Made of glass the way you see through me

You know me better than I do
Can't seem to keep nothing from you
How you touch my soul from the outside?
Permeate my ego and my pride

I wanna love me (ooh)
The way that you love me (ooh)
Ooh, for all of my pretty
And all of my ugly too
I'd love to see me from your point of view
I wanna trust me (trust me)
The way that you trust me (trust me)
Ooh, 'cause nobody ever loved me like you do
I'd love to see me from your point of view

...

******* This Lyrics is NOT for Commercial use *******"
116,2022-01-06,228966207,Take My Breath,92,13937035,The Weeknd,48965918,Dawn FM,R&B/Soul,"I saw the fire in your eyes
I saw the fire when I look into your eyes
You tell me things you wanna try, uh
I know temptation is the devil in disguise
You risk it all to feel alive, oh, yeah
You're offering yourself to me like sacrifice
You said you do this all the time
Tell me you love me if I bring you to the light

It's like a dream what she feels with me
She loves to be on the edge
Her fantasy is okay with me
Then suddenly, baby says

Take my breath away
And make it last forever, babe
Do it now or never, babe (ah)
Take my breath away
Nobody does it better, babe
Bring me close to-
...

******* This Lyrics is NOT for Commercial use *******"
117,2021-02-11,207024564,We're Good,82,33491593,Dua Lipa,41477822,Future Nostalgia (The Moonlight Edition),Pop,"I'm on an island
Even when you're close
Can't take the silence
I'd rather be alone

I think it's pretty plain and simple
We gave it all we could
It's time I wave goodbye from the window
Let's end this like we should and say we're good

We're not meant to be like sleeping and cocaine
So let's at least agree to go our separate ways
Not gonna judge you when you're with somebody else
...

******* This Lyrics is NOT for Commercial use *******"
118,2021-04-23,206873785,Hell Of A View,77,230781,Eric Church,41432095,Soul,Country,"I was no daddy's dream
Was not your mama's prayer
But I was your first and your
Last ticket outta there
I caught your wings on fire
When I smoked my Bronco tires
Outta that town

I'm good at rollin' dice
No good at standing still
You liked the thought of chasin'
Life instead of dollar bills
We're livin' wreckless
Nothin' to catch us, baby
But the ground

This ain't for everybody
...

******* This Lyrics is NOT for Commercial use *******"
119,2020-04-24,195811511,Put Your Records On,78,33289686,Ritt Momney,37755011,Put Your Records On - Single,Singer/Songwriter,"Three little birds sat on my window
And they told me I don't need to worry
Summer came like cinnamon, so sweet
Little girls double-dutch on the concrete

Maybe sometimes, we got it wrong but it's alright
The more things seem to change
The more they stay the same
Don't you hesitate

Girl, put your records on, tell me your favorite song
You go ahead, let your hair down
Sapphire and faded jeans
I hope you get your dreams
Just go ahead, let your hair down
You're gonna find yourself somewhere, somehow
...

******* This Lyrics is NOT for Commercial use *******"
120,2021-07-30,213849832,Happier Than Ever,92,29247465,Billie Eilish,43804547,Happier Than Ever,Soul,"When I'm away from you, I'm happier than ever
Wish I could explain it better
I wish it wasn't true
Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mmm

Do you read my interviews?
Or do you skip my avenue? (My avenue)
When you (when you) said you were passing through
Was I even on your way?

I knew when I asked you to (when I asked you to)
Be cool about what I was telling you
You'd do the opposite of what you said you'd do (what you said you'd do)
And I'd end up more afraid

...

******* This Lyrics is NOT for Commercial use *******"
121,2022-04-08,230367396,Single Saturday Night,78,24410788,Cole Swindell,49478184,Stereotype,Country,"I was out takin' shots
Throwin' down at the spot
Three sheets, just me and the guys
Every single Saturday night

I was killin' time, crushin' cans
Tryin' not to catch a tan
'Cause I was under them neon lights
Every single Saturday night, yeah

Everybody knew they could find me there
Then right out of the blue, right out of nowhere
Out of nowhere

Sittin' over in the corner, baby I saw
Pretty red lips workin' on a white claw
Shakin' to a little. shook me all night long
And I thought, ""Man, what a beautiful sight""
Ain't a mornin' you don't wake up in my shirt now
...

******* This Lyrics is NOT for Commercial use *******"
122,2021-02-19,208254484,Things A Man Oughta Know,77,28189763,Lainey Wilson,41940829,Sayin’ What I’m Thinkin’,Country,"I can hook a trailer on a two-inch hitch
I can shoot a shotgun, I can catch a fish
I can change a tire on the side of a road
Yeah, I know a few things a man oughta know

How to know when it's love
How to stay when it's tough
How to know you're messin' up a good thing
And how to fix it 'fore it's too late
And yeah, I know a boy
Who gave up and got it wrong
If you really love a woman, you don't let her go
...

******* This Lyrics is NOT for Commercial use *******"
123,2021-01-21,206630219,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,77,47221368,BRS Kash feat. DaBaby & City Girls,41358813,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],Hip Hop/Rap,"Damn near got the best head in the world on her, I be ready to hit
Put her lips on my dick and she swirl on it, she be ready to spit
She eatin' my dick with passion, it feel like she talkin' to me, she be tellin' me shit
Yeah, go 'head and spit on it, yeah (what's happenin', Chi Chi?)

Pull out my dick and she lick on it
I know she with it, yeah, I know she want it, uh
Paint her face like a Picasso
She smokin' on dick like Gelato
I need a sexy lil' bih like Mulatto
Lick on the tip and you know that she swallow kids
IG bitch, come follow this
I ain't tryna do no cuddling
I just want face, let me bust on it
Sexy lil' bitch, sexy lil' hoe, hold on, hold on real quick

See her three times a week and don't nobody know
Pull that dick out and eat soon as I hit the door
Two days ago I got head at the Lowe's
They know I be on go, I get head at the store
Ooh, she a gangster
She don't even care if they look in the car, I can't tell if they know

Girl, get the mangoes, let me get my leg out your way
I got manners, I'ma move your hair out the way
She pull that bitch out when she see me
She suck my dick, she put this song on repeat
She love to top it, ooh, and she slop it
Put the spit from the dick to her mouth, she a monster
And I might love her if she blow bubbles
And put both hands on the dick and massage it

Sexy lil' bitch, sexy lil' hoe
I love the way you walk, love the way you talk
...

******* This Lyrics is NOT for Commercial use *******"
124,2021-03-26,212056160,Tombstone,77,35828519,Rod Wave,43261964,SoulFly,Hip Hop/Rap,"Damn, this motherfucker too crazy, Saucii
Let that shit ride, Eighty8

When the shit over, it's over
I don't know what's after or, you know

I keep my gun in my drawers, ducking the sad news (oh, yeah)
My phone say seven missed calls, I know it's bad news
This life had left me so scarred, I'm knowing that's true
Remember times got so hard, I got it tattoed (so hard)

I ain't did no shows but made some bread (yeah)
I gotta keep the family fed (yeah, yeah)
Look, just talked to pops about the feds
I ain't gon' lie, he had me scared, uh

I feel 'em coming, nigga (yeah)
I'll keep on running, nigga (yeah)
If we go down bad, keep it a hundred, nigga
...

******* This Lyrics is NOT for Commercial use *******"
125,2021-06-25,217191586,Todo De Ti,91,31894736,Rauw Alejandro,44784719,VICE VERSA,Latin,"One, two
One, two, three

El viento soba tu cabello
Uh, uh, uh, uh, uh
Me matan esos ojos bellos
Uh, uh, uh, uh, uh

Me gusta tu olor, de tu piel, el color
Y como me haces sentir
Me gusta tu boquita, ese labial rosita
Y cómo me besas a mí

Contigo quiero despertar
Hacerlo después de fumar (ey)
Ya no tengo na' que buscar
Algo fuera de aquí

Tú combinas con el mar
Ese bikini se ve fenomenal
No hay gravedad que me pueda elevar
Me pones mal a mí

Aceleraste mis latidos
Es que me gusta todo de ti
De to'as tus partes, ¿cuál decido?
Es que me gusta todo de ti
...

******* This Lyrics is NOT for Commercial use *******"
126,2020-03-20,194169151,Blinding Lights,94,13937035,The Weeknd,37216011,After Hours,Electronic,"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
...

******* This Lyrics is NOT for Commercial use *******"
127,2019-09-06,181998471,Circles,92,51049836,Post Malone,34433043,Hollywood's Bleeding,Pop,"We couldn't turn around
'Til we were upside down
I'll be the bad guy now
But, no, I ain't too proud

I couldn't be there
Even when I tried
You don't believe it
We do this every time

Seasons change and our love went cold
Feed the flame 'cause we can't let it go
Run away, but we're running in circles
Run away, run away

I dare you to do something
I'm waiting on you again
So I don't take the blame
Run away, but we're running in circles
Run away, run away, run away
...

******* This Lyrics is NOT for Commercial use *******"
128,2019-12-06,189258304,The Box,91,50985215,Roddy Ricch,36020333,Please Excuse Me for Being Antisocial,Hip Hop/Rap,"Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?

I was out back, where the stash at?
Cruise the city in a bulletproof Cadillac (skrrt)
'Cause I know these niggas after where the bag at (yeah)
Gotta move smarter, gotta move harder
Niggas try to get me for my water
I'll lay his ass down on my son, or my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'

I done out my whole arm in the rim, Vince Carter (yeah)
And I know probably get a key for the quarter
...

******* This Lyrics is NOT for Commercial use *******"
129,2019-10-31,186856839,Don't Start Now,92,33491593,Dua Lipa,35608199,Don't Start Now - Single,Disco,"If you don't wanna see me

Did a full 180, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up
Don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word goodbye?
...

******* This Lyrics is NOT for Commercial use *******"
130,2019-12-13,189626477,Adore You,90,24505463,Harry Styles,36101498,Fine Line,Pop,"Walk in your rainbow paradise (paradise)
Strawberry lipstick state of mind (state of mind)
I get so lost inside your eyes
Would you believe it?

You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine

Honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

Your wonder under summer sky (summer sky)
Brown skin and lemon over ice
Would you believe it?
...

******* This Lyrics is NOT for Commercial use *******"
131,2021-06-11,215937735,Memories,91,27840,Maroon 5,44291565,JORDI (Deluxe),Roots Rock,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
...

******* This Lyrics is NOT for Commercial use *******"
132,2019-03-08,166214236,The Bones,90,51712643,Maren Morris,31616242,GIRL,Contemporary Country,"We're in the homestretch of the hard times
We took a hard left, but we're alright
Yeah, life sure can try to put love through it, but
We built this right, so nothing's ever gonna move it

When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain, 'cause you and I remain the same
When there ain't a crack in the foundation
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good, mmm

Call it dumb luck, but baby, you and I
Can't even mess it up, though we both tried
...

******* This Lyrics is NOT for Commercial use *******"
133,2019-05-17,170306150,Someone You Loved,90,33258132,Lewis Capaldi,32470363,Divinely Uninspired To A Hellish Extent,Alternative,"I'm going under and this time I fear there's no one to save me
This all or nothing really got a way of driving me crazy

I need somebody to heal, somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down, and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under and this time I fear there's no one to turn to
...

******* This Lyrics is NOT for Commercial use *******"
134,2019-11-07,186986209,Say So,91,27684481,Doja Cat,35619221,Hot Pink,Alternative Rap,"Day to night to morning
Keep with me in the moment
I'd let you had I known it
Why don't you say so?
Didn't even notice
No punches left to roll with
You got to keep me focused
You want it? Say so

Day to night to morning
Keep with me in the moment
I'd let you had I known it
Why don't you say so?
Didn't even notice
No punches left to roll with
You got to keep me focused
You want it? Say so

It's been a long time since you (fell in love)
You ain't coming out your shell
You ain't really been yourself
Tell me, what must I do? (Do tell, my love)
'Cause luckily, I'm good at reading
I wouldn't bug him, but he won't stop cheesin'
And we can dance all day around it
If you frontin', I'll be bouncing
If you want it, scream it, shout it, babe
...

******* This Lyrics is NOT for Commercial use *******"
135,2021-07-16,219330772,Dance Monkey,91,37843472,Tones and I,45459533,Welcome to the Madhouse (Deluxe),Electronic,"They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin' my whole life
...

******* This Lyrics is NOT for Commercial use *******"
136,2019-10-10,187786341,ROXANNE,90,28772803,Arizona Zervas,35774779,ROXANNE,Hip Hop/Rap,"All for the 'Gram
Bitches love the 'Gram
Oh wait, shit

94 don't need no brakes, yeah

Roxanne
Roxanne
All she wanna do is party all night
God damn, Roxanne
Never gonna love me but it's alright
She think I'm an asshole
She think I'm a player
She keep running back though
Only 'cause I pay her
Roxanne
Roxanne
All she wanna do is party all night

Met her at a party in the hills, yeah
She just wanna do it for the thrill, yeah
Shawty drive a poodle with no top
But if I throw this money, she gon' drop, ayy

She don't wait in lines if it's too long
She don't drive the whip unless the roof off
Only want to call when the cash out
...

******* This Lyrics is NOT for Commercial use *******"
137,2019-11-13,187632922,everything i wanted,92,29247465,Billie Eilish,35768497,everything i wanted,Pop,"I had a dream
I got everything I wanted
Not what you'd think
And if I'm being honest
It might've been a nightmare
To anyone who might care

Thought I could fly (fly)
So I stepped off the Golden, mm
Nobody cried (cried, cried, cried, cried)
Nobody even noticed
I saw them standing right there
Kinda thought they might care (might care, might care)

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

...

******* This Lyrics is NOT for Commercial use *******"
138,2020-11-20,204380469,Roses - Imanbek Remix,90,51800687,SAINt JHN feat. Imanbek,40645544,While The World Was Burning,R&B/Soul,"Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon' make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be
And I know you won't tell nobody nothing
And I know you won't tell nobody no

Roses
I might pull up flexing on these niggas like aerobics
...

******* This Lyrics is NOT for Commercial use *******"
139,2019-12-13,189626475,Watermelon Sugar,91,24505463,Harry Styles,36101498,Fine Line,Pop,"Tastes like strawberries
On a summer evenin'
And it sounds just like a song

I want more berries
And that summer feelin'
It's so wonderful and warm

Breathe me in
Breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
Watermelon sugar

Strawberries
On a summer evenin'
Baby, you're the end of June

I want your belly
And that summer feelin'
...

******* This Lyrics is NOT for Commercial use *******"
140,2019-11-22,187880919,Before You Go,86,33258132,Lewis Capaldi,35611759,Divinely Uninspired To A Hellish Extent (Extended Edition),Pop,"I fell by the wayside, like everyone else
I hate you, I hate you, I hate you
But I was just kidding myself
Our every moment, I start to replace
'Cause now that they're gone
All I hear are the words that I needed to say

When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't

So, before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
...

******* This Lyrics is NOT for Commercial use *******"
141,2020-03-26,219183773,Falling,90,55498376,Trevor Daniel,37248039,Nicotine,Pop,"My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything

My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything

Talk to me, I need to hear you need me like I need ya
Fall for me, I wanna know you feel how I feel for you, love
Before you, baby, I was numb, drowned out pain by pouring up
...

******* This Lyrics is NOT for Commercial use *******"
142,2020-08-21,200187686,hot girl bummer,91,44300735,blackbear,39216858,everything means nothing,Alternative Rap,"Fuck you, and you, and you
I hate your friends and they hate me, too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man
But shit hit different when it's Thursday night

That college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me, too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
...

******* This Lyrics is NOT for Commercial use *******"
143,2019-11-08,195810096,Blueberry Faygo,87,35146480,Lil Mosey,35617706,Certified Hitmaker,Hip Hop/Rap,"Damn, Callan (Damn, Callan)

One bad bitch and she do what I say so (One, gang)
Two big .40s and a big ass Draco (Two, boom, boom)
Three more millions when you ask how my day go (Three)
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three more, gang)
That's how it goes, big bands, I'm thumbin' shit (That's how it goes)

Ayy, one bad bitch and she do what I say so (Yeah, gang)
Two big .40s and a big ass Draco (Two)
Three more millions when you ask how my day go
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three, yeah)
That's how it goes, big bands, I'm thumbin' shit (Gang)

I'm with my niggas, yeah, we some rockstars
And I'm with my nigga, yeah, KK Wokhardt (KK Wokhardt)
...

******* This Lyrics is NOT for Commercial use *******"
144,2020-03-20,194169149,Heartless,90,13937035,The Weeknd,37216011,After Hours,Contemporary R&B,"Never need a bitch, I'm what a bitch need (Bitch need)
Tryna find the one that can fix me
I've been dodgin' death in the six speed
Amphetamine got my stummy feelin' sickly

Yeah, I want it all now
I've been runnin' through the pussy, need a dog pound
Hundred models gettin' faded in the compound
Tryna love me, but they never get a pulse down

Why? 'Cause I'm heartless
And I'm back to my ways 'cause I'm heartless
All this money and this pain got me heartless
Low life for life 'cause I'm heartless

Said I'm heartless
Tryna be a better man, but I'm heartless
Never be a weddin' plan for the heartless
Low life for life 'cause I'm heartless

Said I'm heartless
...

******* This Lyrics is NOT for Commercial use *******"
